Unnamed: 0.1,Unnamed: 0,topic_id,topic,country,keyword,period
33.0,33.0,1870-1880_telegraph_fr_13,"['politique', 'peuple', 'nation', 'république', 'ami', 'france', 'etat', 'dieu', 'ministre', 'bien']",fr,telegraph,1870-1880
34.0,34.0,1870-1880_telegraph_fr_14,"['préfet', 'conseil', 'président', 'gambetta', 'sénat', 'assemblée', 'ministère', 'député', 'droite', 'élection']",fr,telegraph,1870-1880
35.0,35.0,1870-1880_telegraph_fr_15,"['prussien', 'armée', 'troupe', 'ennemi', 'général', 'artillerie', 'corps', 'soldat', 'bataillon', 'officier']",fr,telegraph,1870-1880
36.0,36.0,1880-1890_telegraph_fr_0,"['train', 'heure', 'gare', 'matin', 'dépêche', 'pari', 'hier', 'soir', 'nuit', 'grévy']",fr,telegraph,1880-1890
37.0,37.0,1880-1890_telegraph_fr_1,"['zola', 'reine', 'cortège', 'rose', 'robe', 'cercueil', 'funèbre', 'fleur', 'simon', 'noir']",fr,telegraph,1880-1890
38.0,38.0,1880-1890_telegraph_fr_2,"['tunis', 'tunisien', 'tunisie', 'kelung', 'mustapha', 'consul', 'régence', 'kroumir', 'bône', 'frontière']",fr,telegraph,1880-1890
39.0,39.0,1880-1890_telegraph_fr_3,"['grand', 'docteur', 'pièce', 'petit', 'directeur', 'principal', 'londre', 'société', 'tableau', 'représenter']",fr,telegraph,1880-1890
40.0,40.0,1880-1890_telegraph_fr_4,"['aveugle', 'gambetta', 'asson', 'djerba', 'baudry', 'sfa', 'constans', 'arnaud', 'isambert', 'betta']",fr,telegraph,1880-1890
41.0,41.0,1880-1890_telegraph_fr_5,"['lettre', 'être', 'avoir', 'bien', 'vouloir', 'faire', 'prendre', 'falloir', 'rien', 'écrire']",fr,telegraph,1880-1890
42.0,42.0,1880-1890_telegraph_fr_6,"['prince', 'comte', 'fille', 'cheval', 'comtesse', 'famille', 'palais', 'place', 'marquis', 'château']",fr,telegraph,1880-1890
43.0,43.0,1880-1890_telegraph_fr_7,"['course', 'canon', 'eau', 'bateau', 'heure', 'blanc', 'ensuite', 'prix', 'marseille', 'julien']",fr,telegraph,1880-1890
44.0,44.0,1880-1890_telegraph_fr_8,"['million', 'dépense', 'budget', 'ollé', 'dette', 'forçat', 'frère', 'amortissable', 'laprun', 'thier']",fr,telegraph,1880-1890
45.0,45.0,1880-1890_telegraph_fr_9,"['gambetta', 'ferry', 'jule', 'freycinet', 'gouvernement', 'commission', 'janvier', 'député', 'crédit', 'situation']",fr,telegraph,1880-1890
46.0,46.0,1880-1890_telegraph_fr_10,"['garibaldi', 'liste', 'nice', 'télégraphiste', 'sortant', 'mairie', 'élection', 'préfet', 'garibaldien', 'républicain']",fr,telegraph,1880-1890
